Simplified	Traditional	Pinyin	Meaning	MeaningES	SentenceSimplified	SentenceMeaning	SentenceMeaningES	Synonyms	SynonymsES	DictionarySimplified	DictionaryMeaning	DictionaryMeaningES
爱	愛	ài	to love	amar / querer	我爱我的家人。	I love my family.	Amo a mi familia.	喜欢 (xǐ huan) - to like	喜欢 (xǐ huan) - gustar	对人或事物有很深的感情	Deep affection for a person or thing	Sentimiento profundo de cariño hacia una persona o cosa
八	八	bā	eight	ocho	我家有八个人。	There are eight people in my family.	Hay ocho personas en mi familia.			数字8	The number 8	El número 8
爸爸	爸爸	bà ba	dad	papá	我爸爸是老师。	My dad is a teacher.	Mi papá es profesor.	父亲 (fù qīn) - father	父亲 (fù qīn) - padre	对父亲的称呼	A word for one's father	Forma de llamar al padre
吧	吧	ba	particle (suggestion)	partícula (sugerencia)	我们走吧。	Let's go.	Vámonos.			用在句尾表示建议或商量	Used at the end of a sentence to suggest something	Se usa al final de la frase para indicar sugerencia o propuesta
白天	白天	bái tiān	daytime	de día	他白天工作，晚上休息。	He works during the day and rests at night.	Él trabaja de día y descansa de noche.	日间 (rì jiān) - daytime	日间 (rì jiān) - de día	太阳出来到落下的这段时间	The period from sunrise to sunset	El periodo de tiempo entre que sale y se pone el sol
百	百	bǎi	hundred	cien	这本书一百块钱。	This book costs a hundred yuan.	Este libro cuesta cien yuanes.			数字100	The number 100	El número 100
半	半	bàn	half	medio / mitad	现在三点半。	It's half past three now.	Ahora son las tres y media.	一半 (yí bàn) - half	一半 (yí bàn) - la mitad	二分之一	One of two equal parts	Una de dos partes iguales
包子	包子	bāo zi	steamed bun	bollo relleno al vapor	这家店的包子很好吃。	The buns at this shop are delicious.	Los baozi de esta tienda están muy ricos.	饺子 (jiǎo zi) - dumpling	饺子 (jiǎo zi) - empanadilla china	一种有馅的面食	A steamed bun with filling	Un alimento de masa cocido al vapor con relleno
杯子	杯子	bēi zi	cup	vaso / taza	杯子在桌子上。	The cup is on the table.	El vaso está sobre la mesa.			用来喝水的器皿	A container for drinking	Un recipiente para beber
本	本	běn	CL: books	(clasificador para libros)	我买了一本书。	I bought a book.	Compré un libro.			用于书籍的量词	Measure word for books	Clasificador usado para libros
边	邊	biān	side	lado	她在河边跑步。	She runs by the river.	Ella corre junto al río.	旁边 (páng biān) - beside	旁边 (páng biān) - al lado	物体的旁边或界限	The side or edge of something	El lado o límite de algo
病	病	bìng	illness	enfermedad	他生病了，没来上课。	He is sick and didn't come to class.	Él está enfermo y no vino a clase.	疾病 (jí bìng) - disease	疾病 (jí bìng) - enfermedad	身体不舒服，不健康的状态	A state of poor health	Un estado de mala salud del cuerpo
不客气	不客氣	bù kè qi	you're welcome	de nada	谢谢你！不客气。	Thank you! You're welcome.	¡Gracias! De nada.			回答别人道谢时说的话	A polite reply to being thanked	Respuesta cortés cuando alguien da las gracias
不要	不要	bú yào	don't	no (imperativo)	上课的时候不要说话。	Don't talk during class.	No hables durante la clase.	别 (bié) - don't	别 (bié) - no (hagas)	表示禁止或劝阻	Used to forbid or discourage an action	Se usa para prohibir o disuadir una acción
不	不	bù	not	no	我不喜欢咖啡。	I don't like coffee.	No me gusta el café.			用于否定	Used for negation	Se usa para la negación
菜	菜	cài	dish; vegetable	plato / verdura	这道菜很好吃。	This dish is delicious.	Este plato está muy rico.			做熟的饭菜或蔬菜	Cooked food or vegetables	Comida cocinada o verduras
茶	茶	chá	tea	té	你想喝茶吗？	Would you like some tea?	¿Quieres tomar té?			一种饮料	A beverage made from tea leaves	Una bebida hecha con hojas de té
唱	唱	chàng	to sing	cantar	她很会唱歌。	She sings very well.	Ella canta muy bien.			用嗓子发出音乐性的声音	To produce musical sounds with one's voice	Producir sonidos musicales con la voz
超市	超市	chāo shì	supermarket	supermercado	我想去超市买东西。	I want to go to the supermarket to buy things.	Quiero ir al supermercado a comprar cosas.	商店 (shāng diàn) - shop	商店 (shāng diàn) - tienda	卖各种商品的大商店	A large store selling many kinds of goods	Una tienda grande que vende todo tipo de productos
车	車	chē	car; vehicle	coche / vehículo	她的车很新。	Her car is new.	Su coche es nuevo.			有轮子的交通工具	A wheeled vehicle	Un vehículo con ruedas
吃	吃	chī	to eat	comer	你吃什么？	What are you eating?	¿Qué vas a comer?			把食物放进嘴里咽下去	To put food in the mouth and swallow it	Poner comida en la boca y tragarla
出租车	出租車	chū zū chē	taxi	taxi	出租车很便宜。	The taxi is cheap.	El taxi es barato.	的士 (dí shì) - taxi	的士 (dí shì) - taxi	载客收费的汽车	A car that carries passengers for a fee	Un coche que transporta pasajeros a cambio de dinero
穿	穿	chuān	to wear	vestir / ponerse	你穿的衣服很好看。	The clothes you're wearing look nice.	La ropa que llevas puesta es muy bonita.			把衣服鞋帽等套在身上	To put on clothes, shoes, etc.	Ponerse ropa, zapatos, etc.
打电话	打電話	dǎ diàn huà	to make a phone call	llamar por teléfono	给你爸爸打电话。	Call your dad.	Llama a tu papá.			用电话联系别人	To contact someone by telephone	Contactar a alguien por teléfono
大	大	dà	big	grande	这家商店很大。	This shop is very big.	Esta tienda es muy grande.	巨大 (jù dà) - huge	巨大 (jù dà) - enorme	体积、面积等超过一般标准	Larger than average in size	Que supera el tamaño o volumen habitual
大家	大家	dà jiā	everyone	todos	大家都喜欢这只小猫。	Everyone likes this kitten.	A todos les gusta este gatito.	大伙儿 (dà huǒr) - everybody	大伙儿 (dà huǒr) - todo el mundo	指一定范围内所有的人	All the people in a group	Todas las personas dentro de un grupo determinado
大学	大學	dà xué	university	universidad	我今年上大学。	I'm starting university this year.	Este año empiezo la universidad.			中学以后的高等学校	A higher education institution after secondary school	Institución de educación superior después de la secundaria
大学生	大學生	dà xué shēng	university student	estudiante universitario	我们都是大学生。	We are all university students.	Todos somos estudiantes universitarios.			在大学学习的学生	A student studying at a university	Un estudiante que estudia en la universidad
到	到	dào	to arrive	llegar	他还没到。	He hasn't arrived yet.	Él todavía no ha llegado.	抵达 (dǐ dá) - to arrive	抵达 (dǐ dá) - llegar	到达某个地方或时间	To reach a place or point in time	Llegar a un lugar o momento determinado
的	的	de	possessive particle	partícula posesiva	这是我的电脑。	This is my computer.	Este es mi ordenador.			用在名词前表示所属关系	Used before a noun to show possession	Se usa antes de un sustantivo para indicar posesión
第	第	dì	ordinal prefix	prefijo ordinal	他是第一名。	He is number one.	Él es el número uno.			用在数字前表示次序	Placed before a number to show order	Se coloca antes de un número para indicar orden
弟弟	弟弟	dì di	younger brother	hermano menor	他是我弟弟。	He is my younger brother.	Él es mi hermano menor.	兄弟 (xiōng dì) - brother	兄弟 (xiōng dì) - hermano	比自己小的男性兄弟	One's younger male sibling	El hermano varón menor que uno mismo
点	點	diǎn	o'clock; a little	en punto / un poco	现在是八点。	It's eight o'clock now.	Ahora son las ocho.	一点儿 (yì diǎnr) - a bit	一点儿 (yì diǎnr) - un poco	表示时间的单位，也指少量	Used for telling time; also means a small amount	Unidad para decir la hora; también indica una pequeña cantidad
店	店	diàn	shop (suffix)	tienda (sufijo)	这是一家书店。	This is a bookstore.	Esto es una librería.	商店 (shāng diàn) - shop	商店 (shāng diàn) - tienda	卖东西的地方	A place where goods are sold	Un lugar donde se venden cosas
电话	電話	diàn huà	telephone	teléfono	他的电话号码是多少？	What's his phone number?	¿Cuál es su número de teléfono?			用来通话的工具	A device used to make calls	Un aparato usado para hablar a distancia
电脑	電腦	diàn nǎo	computer	ordenador	我用电脑学习。	I use a computer to study.	Estudio usando el ordenador.			处理信息的电子设备	An electronic device for processing information	Un dispositivo electrónico para procesar información
电视	電視	diàn shì	TV	televisión	我们晚上看电视。	We watch TV in the evening.	Por la noche vemos la televisión.			播放节目的电器	An electronic device for watching programs	Un aparato eléctrico para ver programas
