Simplified	Traditional	Pinyin	Meaning	MeaningES	SentenceSimplified	SentenceMeaning	SentenceMeaningES	Synonyms	SynonymsES	DictionarySimplified	DictionaryMeaning	DictionaryMeaningES
阿姨	阿姨	āyí	aunt	tía	她是我妈妈的阿姨。	She is my mother's aunt.	Ella es la tía de mi madre.			对年长妇女的称呼	a form of address for an older woman	forma de tratamiento para una mujer mayor
矮	矮	ǎi	short (height)	bajo (de estatura)	他比我矮。	He is shorter than me.	Él es más bajo que yo.			身材不高	not tall in stature	de estatura no alta
爱人	愛人	àiren	spouse	cónyuge	他的爱人在医院工作。	His spouse works at the hospital.	Su cónyuge trabaja en el hospital.			丈夫或妻子	one's husband or wife	el esposo o la esposa de uno
安静	安靜	ānjìng	quiet	tranquilo	图书馆里很安静。	The library is very quiet.	La biblioteca está muy tranquila.			没有声音，不吵闹	without noise, not loud	sin ruido, no bullicioso
安全	安全	ānquán	safe	seguro	开车要注意安全。	You must pay attention to safety while driving.	Hay que tener cuidado con la seguridad al conducir.			没有危险	without danger	sin peligro
把	把	bǎ	(object-marking particle)	(partícula de objeto)	请把门关上。	Please close the door.	Por favor, cierra la puerta.			用于把宾语提到动词前的介词	a preposition used to move the object before the verb	preposición que antepone el objeto al verbo
搬	搬	bān	to move, to carry	mudar, cargar	我们下个月要搬家。	We are moving house next month.	Nos mudamos de casa el mes que viene.			移动物体的位置	to move the position of an object	mover la posición de un objeto
班级	班級	bānjí	class, grade	clase, curso	我们班级有二十个人。	There are twenty people in our class.	Hay veinte personas en nuestra clase.			学校里的教学单位	a teaching unit in a school	unidad de enseñanza en una escuela
搬家	搬家	bānjiā	to move house	mudarse de casa	他们上周搬家了。	They moved house last week.	Se mudaron de casa la semana pasada.			搬到新的住处	to move to a new residence	mudarse a una nueva vivienda
办	辦	bàn	to do, to handle	hacer, tramitar	这件事很难办。	This matter is hard to handle.	Este asunto es difícil de manejar.			处理事情	to handle a matter	gestionar un asunto
办法	辦法	bànfǎ	way, solution	manera, solución	我们得想个办法。	We have to think of a solution.	Tenemos que pensar en una solución.			处理问题的方式	a way of dealing with a problem	una forma de resolver un problema
办公室	辦公室	bàngōngshì	office	oficina	经理在办公室里开会。	The manager is having a meeting in the office.	El gerente está en una reunión en la oficina.			工作用的房间	a room used for work	habitación usada para trabajar
半天	半天	bàntiān	half a day, a long time	medio día, un buen rato	我等了他半天。	I waited for him for a long time.	Lo esperé durante un buen rato.			半个白天，或很长时间	half a daytime, or a long time	medio día, o mucho tiempo
帮助	幫助	bāngzhù	to help	ayudar	谢谢你的帮助。	Thank you for your help.	Gracias por tu ayuda.			替人出力，出主意	to exert effort or give ideas for someone	poner esfuerzo o dar ideas para ayudar a alguien
饱	飽	bǎo	full (after eating)	lleno (de comer)	我吃饱了。	I'm full.	Estoy lleno.			吃了足够的食物	having eaten enough food	haber comido suficiente comida
报纸	報紙	bàozhǐ	newspaper	periódico	爷爷每天看报纸。	Grandpa reads the newspaper every day.	El abuelo lee el periódico todos los días.			定期出版的新闻纸	a regularly published news publication	publicación de noticias que se edita con regularidad
北	北	běi	north	norte	太阳从东边升起，北边很冷。	The sun rises in the east, the north is cold.	El sol sale por el este, el norte es frío.			四个方向之一，与南相对	one of the four directions, opposite of south	una de las cuatro direcciones, opuesta al sur
北方	北方	běifāng	north	norte (región)	北方的冬天很冷。	Winter in the north is very cold.	El invierno en el norte es muy frío.			北边的地区	the northern region	la región del norte
被	被	bèi	by (passive marker)	por (voz pasiva)	杯子被他打破了。	The cup was broken by him.	La taza fue rota por él.			表示被动的介词	a preposition indicating the passive voice	preposición que indica la voz pasiva
笔记	筆記	bǐjì	notes	apuntes	我上课认真做笔记。	I take notes carefully in class.	Tomo apuntes con cuidado en clase.			听课或读书时记下的内容	content written down while listening or reading	contenido que se anota al escuchar o leer
比较	比較	bǐjiào	to compare; quite	comparar; bastante	这道题比较难。	This question is quite difficult.	Esta pregunta es bastante difícil.			判断事物的异同或高低	to judge the similarities, differences, or degree of things	juzgar las semejanzas, diferencias o el grado de las cosas
笔记本	筆記本	bǐjìběn	notebook	cuaderno	他买了一个新笔记本。	He bought a new notebook.	Compró un cuaderno nuevo.			用来记笔记的本子	a booklet used for taking notes	cuaderno que se usa para tomar apuntes
比如	比如	bǐrú	for example	por ejemplo	我喜欢运动，比如跑步。	I like sports, for example running.	Me gusta el deporte, por ejemplo correr.			举例说明	to illustrate with an example	ilustrar con un ejemplo
比赛	比賽	bǐsài	to compete; match	competir; competición	明天有一场足球比赛。	There's a soccer match tomorrow.	Mañana hay un partido de fútbol.			比较高低的活动	an activity to compare who is better	actividad para comparar quién es mejor
必须	必須	bìxū	must	deber (obligación)	你必须按时完成作业。	You must finish your homework on time.	Debes terminar los deberes a tiempo.			表示事理上或情理上必要	indicates necessity in reason or logic	indica necesidad por razón o lógica
变	變	biàn	to change, to become	cambiar	天气变冷了。	The weather has turned cold.	El tiempo se ha vuelto frío.			事物变得不同	a thing becomes different	algo se vuelve diferente
遍	遍	biàn	measure word for times	(clasificador de veces)	请再说一遍。	Please say it again.	Por favor, dilo otra vez.			表示动作从头到尾的次数	measure word for an action done from start to finish	clasificador para una acción realizada de principio a fin
变成	變成	biànchéng	to become, to turn into	convertirse en	毛毛虫变成了蝴蝶。	The caterpillar turned into a butterfly.	La oruga se convirtió en mariposa.			转变成为另一种事物	to transform into another thing	transformarse en otra cosa
